on-group,revenue,cumsum,%,ABC
Блины,585154.07,585154.07,9.335458567429264,A
Кофе,535423.32,1120577.39,17.877520352790203,A
Яичница,437128.19,1557705.5799999998,24.851396662665902,A
Каши,376243.28,1933948.8599999999,30.85392442721463,A
Омлет,330960.86,2264909.7199999997,36.13402338640115,A
Горячий бутерброд,329904.39,2594814.11,41.39726758473344,A
Блюда из курицы,315364.93,2910179.04,46.428551461192214,A
Из творога,287922.99,3198102.0300000003,51.022030822542895,A
Из овощей,279393.31,3477495.3400000003,55.47942897329305,A
Запеканка,269260.63,3746755.97,59.775171896528455,A
Овощной,221508.31,3968264.2800000003,63.30908160742952,A
Колбаски разные,216166.71,4184430.99,66.75777224861825,A
Пироги,169014.1,4353445.09,69.45419735912178,A
Морсы,154256.65,4507701.74,71.91518436862073,A
Котлеты,107393.55,4615095.29,73.62852464571074,A
Сэндвич,81494.0,4696589.29,74.92866746193361,A
Вафли,79221.9,4775811.19,76.19256154214233,A
Контейнер,76188.18000000001,4851999.37,77.4080561173024,A
Соус,75339.61,4927338.98,78.61001273642201,A
Сосиска в тесте,71918.33,4999257.3100000005,79.7573867775078,A
Круассан,60768.5,5060025.8100000005,80.72687813549294,B
Соки,53413.02,5113438.83,81.5790212901518,B
Цезарь,52898.62,5166337.45,82.42295778585827,B
Картофель,51790.88,5218128.33,83.2492215669693,B
Пай,51528.6,5269656.93,84.07130097306081,B
Чай,48045.24,5317702.17,84.83780738629005,B
Компот,45825.11,5363527.28,85.56889418493932,B
Блюда из мяса,43141.7,5406668.98,86.25717027072041,B
Торт,42033.71,5448702.69,86.92776965344423,B
Прочие,36632.03,5485334.720000001,87.5121914593215,B
Блюда из говядины,35060.3,5520395.0200000005,88.07153812508362,B
Фреш-ролл,33504.79,5553899.8100000005,88.60606842213072,B
Блюда из свинины,33500.428,5587400.238000001,89.14052912849674,B
Рыба,33168.9,5620569.138000001,89.66970068783871,B
Для холодных напитков,32112.15,5652681.288000002,90.18201301924927,B
Боул,26642.06,5679323.348000001,90.60705637113259,B
Мясные,24648.12,5703971.468000001,91.00028870911329,B
Яйца,24445.73,5728417.198000002,91.39029214797782,B
Бульоны,22059.64,5750476.838000001,91.74222827179628,B
Вода,21405.13,5771881.968000001,92.08372244314407,B
Медовик,21114.69,5792996.658000002,92.4205829791378,B
Спринг ролл,20980.88,5813977.538000002,92.75530873085,B
Кекс,20379.87,5834357.408000002,93.0804460609118,B
Для супа,19600.0,5853957.408000002,93.39314146422946,B
Панакота,18763.29,5872720.698000002,93.69248812413333,B
Рис,18748.329999999998,5891469.028000002,93.99159611448448,B
Хлеб,18721.14,5910190.168000001,94.29027031973276,B
Блюда из индейки,18421.01,5928611.178000001,94.58415629684848,B
Пироженое,18251.059999999998,5946862.238000001,94.8753309176482,B
Булочки,18134.46,5964996.698000001,95.16464531987512,C
Греча,17581.98,5982578.678000001,95.44514554065181,C
Щи,17296.15,5999874.828000002,95.72108567330959,C
Мюсли,15392.1,6015266.928000001,95.9666488833813,C
Макароны,14994.57,6030261.498000002,96.20586996061216,C
Шоколадные батончики,14650.22,6044911.718000001,96.43959733059135,C
Лимонад,14216.38,6059128.098000001,96.66640328354119,C
Печенье,12364.87,6071492.968000001,96.86367052903204,C
Желе,12113.01,6083605.978000001,97.05691963859022,C
Мясной,11727.39,6095333.368000001,97.24401662562661,C
Борщ,11508.32,6106841.688000001,97.42761860337706,C
Рулеты,10675.25,6117516.938000001,97.5979299097172,C
Набор,10433.11,6127950.048000001,97.7643781515186,C
Ватрушка,9600.0,6137550.048000001,97.91753508375581,C
Крем / Пюре,9474.84,6147024.888000001,98.06869523248899,C
Капуста,9044.25,6156069.138000001,98.2129858141959,C
Фасоль,8720.88,6164790.018000001,98.3521174003635,C
Жев. резинка,7700.0,6172490.018000001,98.47496202309543,C
Шуба,6943.91,6179433.928000001,98.58574410156744,C
Шарлотка,6687.44,6186121.368000002,98.69243449687166,C
Паста,6500.01,6192621.378000001,98.79613466261242,C
Оливье,5570.93,6198192.308000001,98.88501242808202,C
Кулич,5400.07,6203592.378000001,98.97116431923476,C
Пудинг,4950.0,6208542.378000001,99.05013586241958,C
Чизкейк,4462.44,6213004.818000002,99.1213289479084,C
С Сыром,4208.95,6217213.768000002,99.1884778926938,C
Орехи,4097.61,6221311.378000002,99.25385053614218,C
Окрошка,3391.9,6224703.278000003,99.30796439014797,C
Штрудель,3266.48,6227969.758000003,99.36007731264945,C
"Ложки,вилки",3212.5,6231182.258000003,99.41132904648404,C
Коктейли,3150.0,6234332.258000003,99.46158366487438,C
Вареники,3087.63,6237419.888000003,99.5108432418206,C
Сок,3008.22,6240428.108000003,99.55883592376794,C
Бутылка,2665.6,6243093.708000002,99.60136249861914,C
Яблоко,2650.06,6245743.768000002,99.64364115068626,C
Арбуз,2400.0,6248143.768000002,99.68193038374558,C
Торты,1783.33,6249927.098000002,99.71038135790876,C
Кисло-молочное,1562.5,6251489.598000002,99.73530924401508,C
Пицца,1487.48,6252977.078000003,99.75904027251136,C
Цитрус,1458.47,6254435.548000002,99.78230847990302,C
Покупное,1382.84,6255818.388000002,99.80437009783792,C
Кальмары,1333.3200000000002,6257151.708000002,99.82564168126402,C
Пирог с вишней 1 кг,1208.34,6258360.048000002,99.84491935287853,C
Мороженое,1175.0,6259535.048000002,99.86366512323049,C
Слойка,950.0,6260485.048000002,99.87882127798314,C
Стакан,800.51,6261285.558000002,99.8915924921316,C
Молоко,745.83,6262031.388000002,99.90349134992019,C
Какао,733.37,6262764.758000002,99.9151914227738,C
Пирог с яблоком и брусникой 1 кг,625.0,6263389.758000002,99.92516257721633,C
Груша,591.67,6263981.428000002,99.93460198993475,C
Свекольник холодный,533.36,6264514.7880000025,99.9431111338283,C
Нож,507.5,6265022.2880000025,99.95120771123564,C
Оладьи,487.5,6265509.7880000025,99.9589852117008,C
Для торта,400.0,6265909.7880000025,99.96536675054402,C
Пирог с капустой и яйцом 1 кг,333.33,6266243.118000003,99.97068464640054,C
Плов,320.83000000000004,6266563.948000003,99.97580311916823,C
Глинтвейн,250.0,6266813.948000003,99.97979158094523,C
Чизбургер,233.33,6267047.278000003,99.98351409209096,C
Леденцы,225.0,6267272.278000003,99.98710370769027,C
Пхали,216.68,6267488.958000002,99.99056058728164,C
Булгур,150.0,6267638.958000002,99.99295366434784,C
Пряник,141.67000000000002,6267780.628000002,99.99521384586764,C
Похлебка,70.83,6267851.458000002,99.99634385685829,C
Паштет,58.33,6267909.7880000025,99.99727444476011,C
Пирог,50.0,6267959.7880000025,99.99807213711551,C
Нектарин,41.67,6268001.458000002,99.9987369339245,C
Пунш,41.67,6268043.128000002,99.9994017307335,C
Пастила,37.5,6268080.628000002,100.00000000000004,C
