naimenovanie;group;on-group
Яичница с беконом;Завтрак;Яичница
Сосиски отварные;Основное блюдо;Колбаски разные
Каша овсяная на молоке;Завтрак;Каши
Хлеб ржано-пшеничный;Хлеб;Хлеб
Каша рисовая на молоке;Завтрак;Каши
Кофе Американо КМ;Напитки;Кофе
Контейнер для супа(банка);Контейнер;Контейнер
Драник картофельный;Блюда из овощей;Драники
Кекс Тыквенный;Выпечка и десерт;Кекс
Омлет с сыром;Завтрак;Омлет
Горячий бутерброд;Бутерброд;Горячий бутерброд
Вода Бон Аква 05 л;Напитки;Вода
Блинчики;Выпечка;Блины
Джем в ассортименте 30 гр;Соус;Соус
Контейнер неразъемный;Контейнер;Контейнер
Блинчик с ветчиной и сыром;Выпечка;Блины
Контейнер для горячего(черный);Контейнер;Контейнер
Омлет натуральный;Завтрак;Омлет
Блинчик с творогом;Выпечка и десерт;Блины
Морс из черной смородины;Напитки;Морсы
Кофе Капучино КМ;Напитки;Кофе
Кофе Капучино Большой КМ;Напитки;Кофе
Запеканка из творога;Выпечка и десерт;Запеканка
Яичница-глазунья;Завтрак;Яичница
Каша овсяная на воде;Завтрак;Каши
Салат из свеклы с брынзой;Салат;Овощной
Сметана;Соус;Соус
Сок RIOBA гранат бут.;Напитки;Соки
Ветчина жареная;Основное блюдо;Колбаски разные
Хлеб пшеничный;Хлеб;Хлеб
Батончик Сникерс 50 гр;Снеки;Шоколадные батончики
Батончик Твикс;Снеки;Шоколадные батончики
Салат с айсбергом и помидорами;Салат;Овощной
Пай песочный с черной смородиной;Выпечка и десерт;Пай
Сметана 30 гр;Соус;Соус
Бутылка с пробкой;Контейнер;Бутылка
Кофе Латте Большой КМ;Напитки;Кофе
Чай пакетированный;Напитки;Чай
Морс из вишни;Напитки;Морсы
Соус HEINZ порц;Соус;Соус
Ватрушка с творогом;Выпечка и десерт;Прочие
Кофе Лунго КМ;Напитки;Кофе
Кофе для персонала;Напитки;Кофе
Пирог Королевская ватрушка;Выпечка и десерт;Пироги
Йогурт с мюслями;Завтрак;Мюсли
Горчица 30 гр;Соус;Соус
Запеканка из творога с маком;Выпечка и десерт;Запеканка
Сосиска в тесте;Выпечка;Сосиска в тесте
Кофе Латте КМ;Напитки;Кофе
Пирожок с курицей и грибами;Выпечка;Пироги
Пирожок с капустой;Выпечка;Пироги
Яблоко;Фрукты;Яблоко
Лимонад Кола Спрайт ж/б 033 мл;Напитки;Лимонад
Яйцо отварное;Закуски;Яйца
Плетенка с творогом;Выпечка и десерт;Прочие
Филе куриное запеченное с брокколи;Основное блюдо;Блюда из куриного филе
Фреш-ролл с курицей;Основное блюдо;Блюда из курицы обработанной
Пирожок с яблоком и брусникой;Выпечка и десерт;Пирожки
Пирожок с вишней;Выпечка и десерт;Пирожки
Индейка гриль;Основное блюдо;Блюда из индейки
Картофель запеченый с розмарином;Гарнир;Картофель
Фасоль стручковая с овощами;Гарнир;Фасоль
Котлеты Михайловские;Основное блюдо;Котлеты
Рис с маслом;Гарнир;Рис
Бульон куриный;Основное блюдо;Бульоны
Пампушка с чесноком и зеленью;Хлеб;Хлеб
Щи с курицей;Основное блюдо;Супы
Плов из курицы;Основное блюдо;Блюда из курицы обработанной
Салат Оливье с ветчиной;Салат;Оливье
Фасоль стручковая отварная;Гарнир;Фасоль
Салат из кит.капусты с ред. Сметан огурц;Салат;Овощной
Котлета из индейки;Основное блюдо;Котлеты
Соус сальса 30 гр;Соус;Соус
Салат Витаминый;Салат;Овощной
Салат Крабовый;Салат;Мясной
Макароны отварные с маслом;Гарнир;Макароны
Яйцо с гарниром;Гарнир;Прочие
Греча;Гарнир;Греча
Картофельное пюре;Гарнир;Картофель
Суп-крем овощной;Основное блюдо;Суп-пюре
Соус тар-тар 30 гр;Соус;Соус
Отбивная из свинины в соусе Барбекю;Основное блюдо;Блюда из свинины
Потрошки куриные в сметанном соусе;Основное блюдо;Блюда из куриных субпродуктов
Гуляш из говядины;Основное блюдо;Блюда из говядины
Салат Грация;Салат;Прочие
Творожный рулет с персиком;Десерты;Рулеты
Пирожок с зеленым луком и яйцом;Выпечка;Пироги
Огурцы малосольные;Салат;Овощной
Салат из св.огурцов и помидоров;Салат;Овощной
Курица с овощами;Основное блюдо;Блюда из курицы
Пирожок с картофелем и грибами;Выпечка;Пироги
Сэндвич с лососем;Бутерброд;Сэндвич
Фрикадельки из свин. с гриб. в см.соусе;Основное блюдо;Блюда из свинины
Котлета рыбная;Основное блюдо;Котлеты
Меренговый рулет;Десерты;Рулеты
Салат Греческий 180 гр;Салат;Овощной
Филе индейки отварное;Основное блюдо;Блюда из индейки
Салат Цезарь с креветками 165 гр;Салат;Цезарь
Фруктовое ассорти 150 гр;Фрукты;Набор
Булочка с корицей;Выпечка и десерт;Булочки
Салат Цезарь 165 гр;Салат;Цезарь
Пирожок с картофелем и луком;Выпечка;Пироги
Компот из сухофруктов;Напитки;Компот
Сэндвич с курицей;Основное блюдо;Блюда из курицы обработанной
Кофе Флэт Уайт КМ;Напитки;Кофе
Груша;Фрукты;Груша
Лепешка сырная;Выпечка;Пироги
Боул с лососем;Основное блюдо;Боул
Сэндвич с ветчиной и сыром;Бутерброд;Сэндвич
Боул с креветками;Основное блюдо;Боул
Фреш-ролл с ветчиной;Закуски;Рулеты
Панакота с клубничным соусом;Десерты;Панакота
Блинчик с грибным жюльеном;Выпечка;Блины
Каша пшенная на молоке;Завтрак;Каши
Яичница с перцем;Завтрак;Яичница
Круассан с лососем;Бутерброд;Круассан
Омлет с ветчиной;Завтрак;Омлет
Каша ячневая на молоке;Завтрак;Каши
Драник морковный;Блюда из овощей;Драники
Блинчик с вишней;Выпечка и десерт;Блины
Кофе Эспрессо КМ;Напитки;Кофе
Сырник;Завтрак;Из творога
Биточки куриные паровые;Основное блюдо;Котлеты
Морс из брусники;Напитки;Морсы
Молоко сгущеное 30 гр;Соус;Соус
Ложки вилки;Приборы;Ложки вилки
Печенье творожно-кокосовое;Выпечка и десерт;Прочие
Батончик шоколадный в ассортименте;Снеки;Шоколадные батончики
Творог порционный;Завтрак;Из творога
Вода пит. Боржоми;Напитки;Вода
Салат Оливье с колбасой;Салат;Оливье
Эскалоп;Основное блюдо;Блюда из мяса обработанного
Картофель запеченый;Гарнир;Картофель
Пирожок с мясом;Выпечка;Пироги
Шницель куриный;Основное блюдо;Блюда из курицы
Фрикассе из курицы;Основное блюдо;Блюда из курицы обработанной
Грибная похлебка с курицей;Основное блюдо;Супы
Бульон куриный с рисом;Основное блюдо;Бульоны
Рыба по-польски;Основное блюдо;Рыба
Салат из свеклы с грецким орехом;Салат;Овощной
Салат из моркови и яблока;Салат;Овощной
Салат Цезарь с курицей;Салат;С курицей
Сельдь по-русски;Салат;Прочие
Микс салатных листьев;Салат;Овощной
Тирамису;Десерты;Пироженое
Лечо по-домашнему;Гарнир;Овощной
Суп-крем из брокколи;Основное блюдо;Суп-пюре
Зразы мясные с луком и яйцом;Основное блюдо;Котлеты
Булочки в ассортименте;Выпечка и десерт;Булочки
Митболы с сырным соусом;Основное блюдо;Блюда из мяса обработанного
Желе из вишни;Десерты;Желе
Салат из кв.капусты с клюквой;Салат;Овощной
Жаркое из курицы;Основное блюдо;Блюда из курицы
Поджарка из свинины;Основное блюдо;Блюда из свинины
Чай каркаде пряный;Напитки;Чай
Салат Морской;Салат;Прочие
Свекла по-корейский;Гарнир;Овощной
Говядина тушеная с черносливом;Основное блюдо;Блюда из говядины
Шпинат тушеный в сливках;Гарнир;Овощной
Печень куриная жареная с луком;Основное блюдо;Блюда из куриных субпродуктов
Люля из курицы;Основное блюдо;Блюда из курицы обработанной
Салат Нисуаз 185 гр;Салат;Прочие
Контейнер крафт для горячего;Контейнер;Контейнер
Хлеб бородинский;Хлеб;Хлеб
Сок в ассортименте;Напитки;Соки
Котлета Михайловская;Основное блюдо;Котлеты
Желе из мандаринов;Десерты;Желе
Свинина корейка гриль;Основное блюдо;Блюда из свинины
Круассан с ветчиной и сыром;Бутерброд;Круассан
Пирог песочный с лимоном;Выпечка и десерт;Пироги
Блинчик с курицей и грибами;Выпечка;Блины
Омлет с помидорами;Завтрак;Омлет
Салат из свежих овощей;Салат;Овощной
Яичница с сыром;Завтрак;Яичница
Сок RIOBA в ассортименте  бут.;Напитки;Соки
Блинчик с яблоком;Выпечка и десерт;Блины
Кекс Творожный;Выпечка и десерт;Кекс
Круассан с курицей;Бутерброд;Круассан
Торт Малиновый чизкейк;Десерты;Торт
Контейнер треугольный;Контейнер;Контейнер
Батончик Баунти;Снеки;Шоколадные батончики
Кофе Флэт Уайт двойной;Напитки;Кофе
Картофель запеченый с сыром;Гарнир;Картофель
Кефир с мюслями;Завтрак;Мюсли
Филе куриное отварное;Основное блюдо;Блюда из куриного филе
Торт Медовик;Выпечка и десерт;Медовик
Шарлотка с яблоком и брусникой;Выпечка и десерт;Шарлотка
Винегрет;Салат;Овощной
Филе куриное с грибами;Основное блюдо;Блюда из куриного филе
Салат с фунчозой с курицей;Салат;С курицей
Котлета Московская;Основное блюдо;Котлеты
Борщ из кв.капусты с курицей;Основное блюдо;Супы
Салат Греческий;Салат;Овощной
Котлета куриная жареная;Основное блюдо;Котлеты
Чиабатта 55 гр;Хлеб;Хлеб
Свекла запеченная с терияки;Гарнир;Овощной
Салат Сельдь под шубой;Салат;Шуба
Тарталетка ягодная;Десерты;Пироженое
Бульон куриный с лапшой;Основное блюдо;Бульоны
Чахохбили;Основное блюдо;Блюда из курицы
Сердечки куриные по-строгановски;Основное блюдо;Блюда из куриных субпродуктов
Суп-крем из цветной капусты;Основное блюдо;Суп-пюре
Стейк из свиной шеи;Основное блюдо;Блюда из свинины
Рыба жареная в тесте;Основное блюдо;Рыба
Говядина в маринаде с имбирем;Основное блюдо;Блюда из говядины
Спагетти Карбонара;Основное блюдо;Паста
Салат из курицы с соусом из авокадо;Салат;С курицей
Ватрушка мясная с жюльеном грибным;Выпечка;Ватрушка
Салат кол-слоу с двумя видами капусты;Салат;Овощной
Салат из ветчины огурца картофеля и перц;Салат;Мясной
Торт брусничный с шоколадом;Десерты;Торт
Пхали из свеклы;Десерты;Пхали
Свиной кармашек;Основное блюдо;Блюда из свинины
Контейнер квадрат для пироженных;Контейнер;Контейнер
Хрен столовый 30 гр;Соус;Соус
Филе куриное гриль;Основное блюдо;Блюда из куриного филе
Батончик Пикник 38 гр;Снеки;Шоколадные батончики
Салат Столичный;Салат;Оливье
Пицца Римская Пепперони кусок;Основное блюдо;Пицца
Отбивная из свинины терияки;Основное блюдо;Блюда из свинины
Яичница с помидором;Завтрак;Яичница
Блинчик с мясом;Выпечка и десерт;Блины
Немецкий маковый творожник;Выпечка и десерт;Прочие
Муравейник К;Десерты;Торт
Драник тыквенный;Блюда из овощей;Драники
Пай песочный с брусникой;Выпечка и десерт;Пай
Каша манная на молоке;Завтрак;Каши
Торт Сникерс;Десерты;Торт
Биточки мясные паровые;Основное блюдо;Котлеты
Сметанник;Выпечка и десерт;Торт
Батончик Натс 50 гр;Снеки;Шоколадные батончики
Шашлык из курицы;Основное блюдо;Блюда из курицы обработанной
Филе куриное в соусе чили;Основное блюдо;Блюда из куриного филе
Суп гороховый;Основное блюдо;Супы
Салат из б/к капусты с морковью и перцем;Салат;Овощной
Шницель куриный с сыром;Основное блюдо;Блюда из курицы
Пирожки 12.01.24;Выпечка;Пироги
Бефстроганов из говядины;Основное блюдо;Блюда из говядины
Тефтели в молочном соусе;Основное блюдо;Блюда из мяса обработанного
Картофель отварной с маслом;Гарнир;Картофель
Салат Немецкий;Салат;Прочие
Салат из пекинской капусты и курицей;Салат;Овощной
Салат из тыквы запеченной с брынзой;Салат;Прочие
Капуста цветная на пару;Гарнир;Капуста
Филе лосося на гриле;Основное блюдо;Рыба
Салат Диетический;Салат;Прочие
Суп-крем из шпината;Основное блюдо;Суп-пюре
Свинина корейка в соусе блю-чиз;Основное блюдо;Блюда из свинины
Рулет куриный с яйцом;Основное блюдо;Блюда из курицы обработанной
Салат Сырный с ветчиной;Салат;С Сыром
Томаты с моцареллой и соусом песто;Блюда из овощей;Помидоры
Свинина тушен. в красном соусе;Основное блюдо;Блюда из свинины
Желе из клубники;Десерты;Желе
Йогурт питьевой в ассортименте;Напитки;Кисло-молочное
Смесь ореховая сладкая;Снеки;Орехи
Булочка Шу;Выпечка и десерт;Булочки
Смесь ореховая соленая;Снеки;Орехи
Булочка с маком;Выпечка и десерт;Булочки
Лимонад Черноголовка 0.5л;Напитки;Лимонад
Жев. резинка;Снеки;Жев. резинка
Студень из говяжьих ножек 1.0 кг;Основное блюдо;Блюда из говядины
Салат Оливье 1.0 кг;Салат;Оливье
Салат Сельдь под шубой 1.0 кг;Салат;Шуба
Буженина из свиной шеи 1.0 кг;Основное блюдо;Блюда из свинины
Медовик классический 1.0 кг;Торт цельный;Медовик
Набор Булочек Шу 4 вида;Выпечка и десерт;Булочки
Медовик классический;Выпечка и десерт;Медовик
Кофе Капучино КМ на кокосовом молоке;Напитки;Кофе
Батончик Марс 50г;Снеки;Шоколадные батончики
Пицца Римская острая  целая;Основное блюдо;Пицца
Каша рисовая на безлактозном молоке;Завтрак;Каши
Кекс Морковный;Выпечка и десерт;Кекс
Каша пшеничная на молоке;Завтрак;Каши
Морс из клюквы;Напитки;Морсы
Молоко в кофе;Соус;Соус
Десерт Йогуртовый;Десерты;Кисло-молочное
Кофе Эспрессо двойной;Напитки;Кофе
Медовик шоколадный;Выпечка и десерт;Медовик
Салат из свеклы с яйцом;Салат;Овощной
Филе куриное с кабачками;Основное блюдо;Блюда из куриного филе
Фуршет 15.01;Фуршет;Фуршет 15.01
Салат из курицы с жареными грибами;Салат;С курицей
Щи из кваш.капусты с курицей;Основное блюдо;Супы
Салат из моркови по-корейски;Салат;Овощной
Бризоль из кур. филе;Основное блюдо;Блюда из куриного филе
Бульон куриный с вермишелью;Основное блюдо;Бульоны
Спагетти с курицей;Основное блюдо;Паста
Биточки куриные с копченой сметаной;Основное блюдо;Котлеты
Морковь со специами;Гарнир;Овощной
Котлета по-домашнему;Основное блюдо;Котлеты
Салат овощной с сельдереем;Салат;Овощной
Рыба с фасолью в соусом терияки;Основное блюдо;Рыба
Салат из перца с помидором и луком;Салат;Овощной
Сердечки куриные в соусе карри;Основное блюдо;Блюда из куриных субпродуктов
Котлета Пожарская;Основное блюдо;Котлеты
Пхали из шпината;Десерты;Пхали
Рулетики из свинины с овощами и сыром;Основное блюдо;Блюда из свинины
Печенье овсяное;Десерты;Печенье
Пай песочный с творогом;Выпечка и десерт;Пай
Котлета куриная паровая;Основное блюдо;Котлеты
Салат Сытный;Салат;Прочие
Филе куриное запеченное с помидорами;Основное блюдо;Блюда из куриного филе
Салат из тыквы моркови ябл. и сельдерея;Салат;Прочие
Картофель запеченый с грибами;Гарнир;Картофель
Свинина в яблочном соусе;Основное блюдо;Блюда из свинины
Рыба в горчичном соусе;Основное блюдо;Рыба
Полба с грибами в сливках;Гарнир;Прочие
Салат Мимоза;Салат;Прочие
Суп фасолевый;Основное блюдо;Супы
Чикенбургер;Бутерброд;Сэндвич
Салат Весенный;Салат;Мясной
Салат овощной с редисом;Салат;Овощной
"Бифштекс ""Любительский""";Основное блюдо;Блюда из мяса обработанного
Салат из свеклы с черносливом;Салат;Овощной
Салат Метелка;Салат;Прочие
Салат Итальянский;Салат;Прочие
Фаршированные помидоры с сыром;Блюда из овощей;Помидоры
Биточки скобелевские;Основное блюдо;Котлеты
Апельсин;Фрукты;Цитрус
Салат из свеклы с маслом;Салат;Овощной
Торт Сметанник шоколадный;Десерты;Торт
Пицца Римская острая кусок;Основное блюдо;Пицца
Эклер Ваниль 50 гр;Десерты;Пироженое
Кекс чернослив;Выпечка и десерт;Кекс
Чай имбирно-цитрусовый;Напитки;Чай
Торт банановый;Десерты;Торт
Салат с моцареллой и черри 180 гр;Салат;Прочие
Булочка Шу фисташка-малина;Выпечка и десерт;Булочки
Штрудель с яблоком;Выпечка и десерт;Штрудель
Свинина запеченая с грибами;Основное блюдо;Блюда из свинины
Борщ с курицей;Основное блюдо;Супы
"Фасоль ""Пикатная""";Гарнир;Фасоль
Спагетти Болоньезе;Основное блюдо;Паста
Рулетики из курицы с овощами и сыр;Основное блюдо;Блюда из курицы обработанной
Салат с фасолью и овощами;Салат;Овощной
Салат Мясной;Салат;Мясной
Брокколи на пару;Гарнир;Овощной
Салат из морской капусты с краб.палочки;Салат;Овощной
Печень по-строгановкски;Основное блюдо;Блюда из мяса обработанного
Азу из говядины;Основное блюдо;Блюда из говядины
Творожный рулет с лимоном;Десерты;Рулеты
Салат из курицы сельдерея и фасоли;Салат;С курицей
Мандарин;Фрукты;Цитрус
Напиток из шиповника;Напитки;Морсы
Картофель запеченный с сыром;Гарнир;Картофель
Рассольник по-ленинградски с курицей;Основное блюдо;Супы
Свинина в тесте;Основное блюдо;Блюда из свинины
Капуста свежая жареная;Гарнир;Капуста
Салат из китайской капусты и сельдерея;Салат;Овощной
Салат с огурцом  яблоком и сельдереем;Салат;Овощной
Зраза куриная с грибами;Основное блюдо;Блюда из курицы обработанной
Салат Деревенский;Салат;Прочие
Рыба с овощами в лодочке;Основное блюдо;Рыба
Салат Чамгу-Сэй;Салат;Прочие
Булгур с овощами;Гарнир;Овощной
Тайский рис с курицей;Основное блюдо;Блюда из курицы обработанной
Салат Кармен;Салат;Прочие
Фрикадельки куриные паровые;Основное блюдо;Блюда из курицы обработанной
Вода пит. Нарзан;Напитки;Вода
Кофе Капучино на банановом молоке КМ;Напитки;Кофе
Батончик Пикник;Снеки;Шоколадные батончики
Эклер Сникерс;Десерты;Пироженое
Биточки паровые из индейки;Основное блюдо;Котлеты
Каша кукурузная на молоке;Завтрак;Каши
Блинчик с картофелем и грибами;Выпечка;Блины
Батончик Сникерс;Снеки;Шоколадные батончики
Кофе Ристретто КМ;Напитки;Кофе
Салат из б/к капусты с морковью и редькй;Салат;Овощной
Солянка по-домашнему с курицей;Основное блюдо;Супы
Салат из крабовых палочек с огурцом;Салат;Прочие
Печень куриная в сметанном соусе;Основное блюдо;Блюда из куриных субпродуктов
Ш-д Риоба 5 гр;Десерты;Покупное
Тефтели в томатном соусе;Основное блюдо;Блюда из мяса обработанного
Салат из помидор с перцем;Салат;Овощной
Салат из морск.капусты с огурцом и морк;Салат;Овощной
