good,zakup_sum,period
Бутылка с пробкой,8.0,2024-01-31
Картофель отварной с маслом,11.66,2024-01-31
Медовик классический мини Н,17.24,2024-01-31
Морс из вишни,8.49,2024-01-31
Салат Греческий 180 гр,83.4,2024-01-31
Салат Цезарь с креветками 165 гр,122.76,2024-01-31
Филе куриное запеченное с брокколи,72.25,2024-01-31
Яблоко,20.83,2024-01-31
Кофе Американо КМ,25.43,2024-01-31
Кофе Капучино КМ,34.75,2024-01-31
Кофе Латте Большой КМ,45.91,2024-01-31
Кофе Лунго КМ,26.2,2024-01-31
Кофе Эспрессо КМ,26.2,2024-01-31
Пирожок с зеленым луком и яйцом,9.14,2024-01-31
29.03.24 Павел Титоренко,5498.0,2024-01-31
Азу из говядины,95.88,2024-01-31
Апельсин,23.97,2024-01-31
Батончик Баунти,37.84,2024-01-31
Батончик Марс,37.49,2024-01-31
"Батончик Мюсли ""Здоровый перекус""",29.45,2024-01-31
Батончик Натс,34.16,2024-01-31
Батончик Пикник,35.75,2024-01-31
Батончик Сникерс,37.49,2024-01-31
Батончик Твикс,36.96,2024-01-31
Батончик шоколадный в ассортименте,14.67,2024-01-31
Бефстроганов из говядины,94.74,2024-01-31
Биточки куриные паровые,55.56,2024-01-31
Биточки куриные с копченой сметаной,56.95,2024-01-31
Биточки мясные паровые,52.34,2024-01-31
Биточки паровые из индейки,70.62,2024-01-31
Биточки скобелевские,54.78,2024-01-31
"Бифштекс ""Любительский""",62.15,2024-01-31
Бифштекс с яйцом,92.89,2024-01-31
Блинчик с ветчиной и сыром,15.05,2024-01-31
Блинчик с вишней,10.19,2024-01-31
Блинчик с грибным жюльеном,14.87,2024-01-31
Блинчик с картофелем и грибами,8.44,2024-01-31
Блинчик с курицей и грибами,19.28,2024-01-31
Блинчик с мясом,34.18,2024-01-31
Блинчик с творогом,9.74,2024-01-31
Блинчик с яблоком,11.24,2024-01-31
Блинчики,10.53,2024-01-31
Борщ из кв.капусты с курицей,15.22,2024-01-31
Борщ с курицей,31.12,2024-01-31
Боул с креветками,126.29,2024-01-31
Боул с лососем,176.01,2024-01-31
Бризоль из кур. филе,64.46,2024-01-31
Брошет из свинины с ананасом и перцем,68.53,2024-01-31
Булгур с овощами,15.09,2024-01-31
Булочка с вареной сгущенкой,13.96,2024-01-31
Булочка с корицей,10.02,2024-01-31
Булочка с маком,25.68,2024-01-31
Булочка Шу,21.69,2024-01-31
Булочка Шу фисташка-малина,26.68,2024-01-31
Булочки в ассортименте,8.15,2024-01-31
Бульон куриный,16.12,2024-01-31
Бульон куриный с вермишелью,17.1,2024-01-31
Бульон куриный с лапшой,14.23,2024-01-31
Бульон куриный с рисом,18.97,2024-01-31
Бульон куриный с яйцом,20.43,2024-01-31
Бутылка с пробкой,7.57,2024-01-31
Ватрушка мясная с жульеном грибным,85.44,2024-01-31
Ватрушка с творогом,11.33,2024-01-31
Ветчина жареная,20.78,2024-01-31
Винегрет,7.99,2024-01-31
"Вода Бон Аква 0,5 л",29.46,2024-01-31
"Вода Боржоми СТЕКЛО 0,5л",95.87,2024-01-31
"Вода Нарзан СТЕКЛО 0,5л",39.69,2024-01-31
Глитвейн с пряностями,10.68,2024-01-31
Говядина в маринаде с имбирем,110.11,2024-01-31
Говядина тушеная с черносливом,104.43,2024-01-31
Горчица 30 гр,7.55,2024-01-31
Горячий бутерброд,34.28,2024-01-31
Греча,6.79,2024-01-31
Грибная похлебка с курицей,15.49,2024-01-31
Груша,46.02,2024-01-31
Гуляш из говядины,92.35,2024-01-31
Десерт Йогуртовый,27.62,2024-01-31
Джем в ассортименте 30 гр,10.09,2024-01-31
Драник из кабачков,24.62,2024-01-31
Драник картофельный,6.89,2024-01-31
Драник морковный,14.78,2024-01-31
Драник тыквенный,8.06,2024-01-31
Жаркое по-домашнему из говядины,108.25,2024-01-31
Жаркое с курицей,65.02,2024-01-31
Жев. резинка,24.5,2024-01-31
Желе из вишни,23.78,2024-01-31
Желе из клубники,25.49,2024-01-31
Желе из мандаринов,8.85,2024-01-31
Запеканка из творога,28.99,2024-01-31
Запеканка из творога с маком,30.03,2024-01-31
Зраза куриная с грибами,48.53,2024-01-31
Зразы мясные с луком и яйцом,38.87,2024-01-31
Индейка гриль,77.75,2024-01-31
Йогурт питьевой в ассортименте,63.51,2024-01-31
Йогурт с мюсли,48.51,2024-01-31
Капуста брокколи на пару,26.65,2024-01-31
Капуста свежая жареная,10.59,2024-01-31
Капуста цветная на пару,17.44,2024-01-31
Картофель запеченный,16.67,2024-01-31
Картофель запеченный с грибами,26.92,2024-01-31
Картофель запеченный с розмарином,19.08,2024-01-31
Картофель запеченный с сыром,20.53,2024-01-31
Картофель отварной с маслом,11.73,2024-01-31
Картофель по-деревенски,16.79,2024-01-31
Картофельное пюре,12.3,2024-01-31
Каша кукурузная на молоке,19.45,2024-01-31
Каша манная на молоке,10.5,2024-01-31
Каша овсяная на воде,5.22,2024-01-31
Каша овсяная на кокосовом молоке,40.98,2024-01-31
Каша овсяная на молоке,14.3,2024-01-31
Каша пшеничная на молоке,14.33,2024-01-31
Каша пшенная на молоке,12.65,2024-01-31
Каша рисовая на безлактозном молоке,24.35,2024-01-31
Каша рисовая на молоке,17.53,2024-01-31
Каша ячневая на молоке,13.31,2024-01-31
Кекс Морковный,18.76,2024-01-31
Кекс Творожный,11.92,2024-01-31
Кекс Тыквенный,18.59,2024-01-31
Кекс чернослив,11.11,2024-01-31
Кефир с мюсли,30.69,2024-01-31
Киноа с грибами,24.87,2024-01-31
Киноа с тыквой,20.54,2024-01-31
Киш с курицей и грибами,26.51,2024-01-31
Кокосовый пудинг с чиа и авокадо,38.22,2024-01-31
Кокосовый пудинг с чиа и манго,59.32,2024-01-31
Компот из сухофруктов,5.61,2024-01-31
Контейнер для горячего(черный),6.27,2024-01-31
Контейнер для супа(банка),5.17,2024-01-31
Контейнер квадрат для пирожных,4.29,2024-01-31
Контейнер крафт для горячего,5.88,2024-01-31
Контейнер неразъемный,5.08,2024-01-31
Контейнер треугольный,6.75,2024-01-31
Котлета  Михайловскя,60.73,2024-01-31
Котлета из индейки,72.4,2024-01-31
Котлета куриная жареная,56.56,2024-01-31
Котлета куриная паровая,54.09,2024-01-31
Котлета Михайловская,61.21,2024-01-31
Котлета Московская,52.63,2024-01-31
Котлета по-домашнему,48.42,2024-01-31
Котлета Пожарская,46.56,2024-01-31
Котлета рыбная,80.1,2024-01-31
Кофе Американо КМ,22.32,2024-01-31
Кофе для персонала,12.88,2024-01-31
Кофе Капучино Большой КМ,45.88,2024-01-31
Кофе Капучино КМ,30.32,2024-01-31
Кофе Капучино КМ на кокосовом молоке,46.23,2024-01-31
Кофе Капучино на банановом молоке КМ,64.31,2024-01-31
Кофе Латте Большой КМ,45.89,2024-01-31
Кофе Латте Большой на кокос. молоке КМ,107.94,2024-01-31
Кофе Латте КМ,32.22,2024-01-31
Кофе Лунго КМ,23.19,2024-01-31
Кофе Ристретто КМ,20.61,2024-01-31
Кофе Флэт Уайт двойной,58.04,2024-01-31
